Search Query	 || 		Document with keyword	 || 	"total documents/appeared documents"	 || 	"log_10(N)"

Canada			 || 			67.0				 || 			9.388059701492537				 || 	0.9725758427444425
Moncton			 || 			12.0				 || 			52.416666666666664				 || 	1.719469399397644
Toronto			 || 			34.0				 || 			18.5							 || 	1.2671717284030137


Canada Appeared in 67 Documents	 || 	Total Words		 || 		Frequency

ARTICLE#144						 || 			102		 || 			0
ARTICLE#145						 || 			102		 || 			0
ARTICLE#146						 || 			93		 || 			0
ARTICLE#147						 || 			99		 || 			0
ARTICLE#148						 || 			93		 || 			0
ARTICLE#149						 || 			30		 || 			1
ARTICLE#150						 || 			102		 || 			0
ARTICLE#151						 || 			102		 || 			0
ARTICLE#152						 || 			52		 || 			0
ARTICLE#153						 || 			108		 || 			0
ARTICLE#154						 || 			105		 || 			0
ARTICLE#155						 || 			36		 || 			1
ARTICLE#156						 || 			34		 || 			1
ARTICLE#157						 || 			102		 || 			0
ARTICLE#158						 || 			99		 || 			0
ARTICLE#159						 || 			117		 || 			0
ARTICLE#160						 || 			57		 || 			0
ARTICLE#161						 || 			102		 || 			0
ARTICLE#162						 || 			81		 || 			0
ARTICLE#163						 || 			105		 || 			0
ARTICLE#164						 || 			126		 || 			0
ARTICLE#165						 || 			93		 || 			0
ARTICLE#166						 || 			81		 || 			0
ARTICLE#167						 || 			90		 || 			0
ARTICLE#168						 || 			102		 || 			0
ARTICLE#169						 || 			99		 || 			0
ARTICLE#170						 || 			33		 || 			1
ARTICLE#171						 || 			96		 || 			0
ARTICLE#172						 || 			117		 || 			0
ARTICLE#173						 || 			105		 || 			0
ARTICLE#174						 || 			99		 || 			0
ARTICLE#175						 || 			78		 || 			0
ARTICLE#176						 || 			114		 || 			0
ARTICLE#177						 || 			102		 || 			0
ARTICLE#178						 || 			29		 || 			1
ARTICLE#179						 || 			99		 || 			0
ARTICLE#180						 || 			90		 || 			0
ARTICLE#181						 || 			33		 || 			1
ARTICLE#182						 || 			102		 || 			0
ARTICLE#183						 || 			93		 || 			0
ARTICLE#184						 || 			28		 || 			1
ARTICLE#185						 || 			87		 || 			0
ARTICLE#186						 || 			99		 || 			0
ARTICLE#187						 || 			99		 || 			0
ARTICLE#188						 || 			78		 || 			0
ARTICLE#189						 || 			87		 || 			0
ARTICLE#190						 || 			90		 || 			0
ARTICLE#191						 || 			90		 || 			0
ARTICLE#192						 || 			96		 || 			0
